entity,count
URIC ACID,22385
UA,8556
GLUCOSE,5996
CREATININE,4287
URATE,3266
SUA,2352
UREA,2334
CHOLESTEROL,2202
ALLOPURINOL,1945
LIPID,1923
DA,1833
DOPAMINE,1726
CALCIUM,1359
FEBUXOSTAT,1345
ASCORBIC ACID,1343
TRIGLYCERIDES,1246
FRUCTOSE,1161
ALT,1113
AA,1095
TRIGLYCERIDE,1031
TG,963
AST,960
MSU,853
PURINE,849
MDA,809
VITAMIN D,757
XO,744
SODIUM,699
MALONDIALDEHYDE,653
GLUTATHIONE,650
BILIRUBIN,640
HDL-C,639
LDL-C,625
HDL,611
H2O2,602
BUN,584
ROS,578
ALCOHOL,559
POTASSIUM,512
GSH,499
LDL,497
SOD,471
HOMOCYSTEINE,462
XANTHINE,461
TC,451
NITROGEN,448
HIGH-DENSITY LIPOPROTEIN CHOLESTEROL,438
CATALASE,435
PHOSPHORUS,425
OXYGEN,423
IRON,409
SUGAR,401
LIPIDS,401
HBA1C,400
METFORMIN,393
MONOSODIUM URATE,385
TESTOSTERONE,379
LOW-DENSITY LIPOPROTEIN CHOLESTEROL,378
EMPAGLIFLOZIN,371
MAGNESIUM,365
REACTIVE OXYGEN SPECIES,355
HYPOXANTHINE,349
UREA NITROGEN,341
CR,334
CISPLATIN,333
LACTATE,330
HCY,327
NO,322
NITRIC OXIDE,317
PHOSPHATE,312
ALBUMIN,306
VITAMIN C,298
OXALATE,291
TAC,284
ELECTRON,279
WATER,272
CALCIUM OXALATE,268
HYDROGEN PEROXIDE,261
FLAVONOIDS,261
ZINC,260
STREPTOZOTOCIN,260
POTASSIUM OXONATE,258
ADENINE,257
URIC,256
BENZBROMARONE,255
LPS,249
HUA,248
CITRATE,248
ETHANOL,244
AMMONIA,242
COLCHICINE,240
ATP,239
GGT,237
DAPAGLIFLOZIN,237
RGO,236
AMINOTRANSFERASE,235
GRAPHENE OXIDE,232
LESINURAD,231
QUERCETIN,230
FPG,230
CCL4,227
LIPOPROTEIN,225
CAFFEINE,223
25(OH)D,220
GRAPHENE,217
LDH,214
BP,212
CURCUMIN,206
CD,204
AUNPS,204
FA,202
GENTAMICIN,200
RASBURICASE,199
GLASSY CARBON ELECTRODE,194
SELENIUM,191
GLYCOGEN,191
