entity,IUPACname
OXYNEURINE,2-(trimethylazaniumyl)acetate
PYROCATECHOL,"benzene-1,2-diol"
CITRIC ACID,"2-hydroxypropane-1,2,3-tricarboxylic acid"
SALICYLIC ACID,2-hydroxybenzoic acid
MICROCRYSTALLINE CELLULOSE,molecular hydrogen
INDOLE,1H-indole
INDOLE-3-ACETIC ACID,2-(1H-indol-3-yl)acetic acid
INDOLE ACETIC ACID,2-(1H-indol-3-yl)acetic acid
AUXIN,2-(1H-indol-3-yl)acetic acid
DL-MET,2-amino-4-methylsulfanylbutanoic acid
NICKEL,nickel
NI,nickel
PHENOL,phenol
PPY,2-oxo-3-phenylpropanoic acid
TMAO,"N,N-dimethylmethanamine oxide"
CARBAMIDE,urea
XANTHINE,"3,7-dihydropurine-2,6-dione"
ACETAMINOPHEN,N-(4-hydroxyphenyl)acetamide
4-ACETAMIDOPHENOL,N-(4-hydroxyphenyl)acetamide
PAH,2-[(4-aminobenzoyl)amino]acetic acid
BENZO[A]PYRENE,benzo[a]pyrene
6-DIONE,"1,3,7-trimethylpurine-2,6-dione"
3-METHYL-1-PHENYL-2-PYRAZOLIN-5-ONE,5-methyl-2-phenyl-4H-pyrazol-3-one
PROBENECID,4-(dipropylsulfamoyl)benzoic acid
STEARIC ACID,octadecanoic acid
OCTADECANOIC ACID,octadecanoic acid
C18:0,octadecanoic acid
CYSTEINE,(2R)-2-amino-3-sulfanylpropanoic acid
L-CYSTEINE,(2R)-2-amino-3-sulfanylpropanoic acid
ASPARTIC ACID,(2S)-2-aminobutanedioic acid
L-TYR,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid
L-LEU,(2S)-2-amino-4-methylpentanoic acid
L-MET,(2S)-2-amino-4-methylsulfanylbutanoic acid
ARGININE,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid
VC,chloroethene
OPD,"benzene-1,2-diamine"
MELAMINE,"1,3,5-triazine-2,4,6-triamine"
TRIACYLGLYCEROL,"2,3-di(octadecanoyloxy)propyl octadecanoate"
