entity,count,IUPACname,cid
"URIC ACID, URATE, URIC-ACID, 2,6,8-TRIHYDROXYPURINE, URC",25689,"7,9-dihydro-3H-purine-2,6,8-trione",1175
"GLUCOSE, D-GLUCOSE, GLC",6020,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",5793
CREATININE,4287,2-amino-3-methyl-4H-imidazol-5-one,588
"UREA, UR, CARBAMIDE, URE",2356,urea,1176
CHOLESTEROL,2202,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",5997
"ALLOPURINOL, XANTHINE OXIDASE",1952,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one",135401907
DOPAMINE,1726,"4-(2-aminoethyl)benzene-1,2-diol",681
"ASCORBIC ACID, VITAMIN C, ASCORBATE, L-ASCORBIC ACID, L-ASCORBATE, VITACIMIN",1699,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",54670067
"CALCIUM, CA",1544,calcium,5460341
FEBUXOSTAT,1345,"2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-1,3-thiazole-5-carboxylic acid",134018
"FRUCTOSE, FRU, D-FRUCTOSE, D-FRU",1175,"(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol",2723872
"GLUTATHIONE, GSH, GLUTATHION",1151,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,124886
ALT,1113,"(3R,4S,5R,6S)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",10219674
TRIGLYCERIDE,1031,"2,3-diformyloxypropyl formate",5460048
TG,963,"2-amino-3,7-dihydropurine-6-thione",2723601
"H2O2, HYDROGEN PEROXIDE, PEROXIDE, HYDROPEROXIDE",890,hydrogen peroxide,784
"PURINE, PURIN",850,7H-purine,1044
"ALCOHOL, ETHANOL, ETOH, C2H5OH",841,ethanol,702
"HOMOCYSTEINE, HCY, L-HOMOCYSTEINE, HCS",791,(2S)-2-amino-4-sulfanylbutanoic acid,91552
"SODIUM, MONOSODIUM, NATRIUM",707,sodium,5360545
"MALONDIALDEHYDE, MALONALDEHYDE, MALONIC ALDEHYDE",673,propanedial,10964
