entity,IUPACname,solid,soluble,filter
 OXYNEURINE,2-(trimethylazaniumyl)acetate,Yes,No,1
PYROCATECHOL,"benzene-1,2-diol",Yes,No,1
CITRIC ACID,"2-hydroxypropane-1,2,3-tricarboxylic acid",Yes,No,1
SALICYLIC ACID,2-hydroxybenzoic acid,Yes,No,1
MICROCRYSTALLINE CELLULOSE,molecular hydrogen,Yes,No,1
INDOLE,1H-indole,Yes,No,1
INDOLE-3-ACETIC ACID,2-(1H-indol-3-yl)acetic acid,Yes,No,1
INDOLE ACETIC ACID,2-(1H-indol-3-yl)acetic acid,Yes,No,1
AUXIN,2-(1H-indol-3-yl)acetic acid,Yes,No,1
DL-MET,2-amino-4-methylsulfanylbutanoic acid,Yes,No,1
NICKEL,nickel,Yes,No,1
NI,nickel,Yes,No,1
PHENOL,phenol,Yes,No,1
PPY,2-oxo-3-phenylpropanoic acid,Yes,No,1
TMAO,"N,N-dimethylmethanamine oxide",Yes,No,1
CARBAMIDE,urea,Yes,No,1
XANTHINE,"3,7-dihydropurine-2,6-dione",Yes,No,1
ACETAMINOPHEN,N-(4-hydroxyphenyl)acetamide,Yes,No,1
4-ACETAMIDOPHENOL,N-(4-hydroxyphenyl)acetamide,Yes,No,1
PAH,2-[(4-aminobenzoyl)amino]acetic acid,Yes,No,1
BENZO[A]PYRENE,benzo[a]pyrene,Yes,No,1
6-DIONE,"1,3,7-trimethylpurine-2,6-dione",Yes,No,1
3-METHYL-1-PHENYL-2-PYRAZOLIN-5-ONE,5-methyl-2-phenyl-4H-pyrazol-3-one,Yes,No,1
PROBENECID,4-(dipropylsulfamoyl)benzoic acid,Yes,No,1
STEARIC ACID,octadecanoic acid,Yes,No,1
OCTADECANOIC ACID,octadecanoic acid,Yes,No,1
C18:0,octadecanoic acid,Yes,No,1
CYSTEINE,(2R)-2-amino-3-sulfanylpropanoic acid,Yes,No,1
L-CYSTEINE,(2R)-2-amino-3-sulfanylpropanoic acid,Yes,No,1
ASPARTIC ACID,(2S)-2-aminobutanedioic acid,Yes,No,1
L-TYR,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,Yes,No,1
L-LEU,(2S)-2-amino-4-methylpentanoic acid,Yes,No,1
L-MET,(2S)-2-amino-4-methylsulfanylbutanoic acid,Yes,No,1
ARGININE,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,Yes,No,1
VC,chloroethene,Yes,No,1
OPD,"benzene-1,2-diamine",Yes,No,1
MELAMINE,"1,3,5-triazine-2,4,6-triamine",Yes,No,1
TRIACYLGLYCEROL,"2,3-di(octadecanoyloxy)propyl octadecanoate",Yes,No,1
ACETYLCYSTEINE,(2R)-2-acetamido-3-sulfanylpropanoic acid,Yes,No,1
SODIUM HYDROXIDE,sodium;hydroxide,Yes,No,1
MOLYBDENUM,molybdenum,Yes,No,1
PALLADIUM,palladium,Yes,No,1
PLATINUM,platinum,Yes,No,1
PA,protactinium,Yes,No,1
SM,samarium,Yes,No,1
SC,scandium,Yes,No,1
SILVER,silver,Yes,No,1
AG,silver,Yes,No,1
CADMIUM,cadmium,Yes,No,1
COPPER,copper,Yes,No,1
AU,gold,Yes,No,1
GOLD,gold,Yes,No,1
ZINC,zinc,Yes,No,1
ZN,zinc,Yes,No,1
ZINC FOIL,zinc,Yes,No,1
CITRATE,"2-hydroxypropane-1,2,3-tricarboxylate",Yes,No,1
5'-TETRAMETHYLBENZIDINE,"4-(4-amino-3,5-dimethylphenyl)-2,6-dimethylaniline",Yes,No,1
CALCIUM OXALATE DIHYDRATE,calcium;oxalate;dihydrate,Yes,No,1
WEDDELLITE,calcium;oxalate;dihydrate,Yes,No,1
SUCCINATE,butanedioate,Yes,No,1
CALCIUM OXALATE MONOHYDRATE,calcium;oxalate;hydrate,Yes,No,1
SODIUM ACETATE,sodium;acetate,Yes,No,1
HNE,(E)-4-hydroxynon-2-enal,Yes,No,1
SB,antimony,Yes,No,1
BA,barium,Yes,No,1
ARSENIC,arsenic,Yes,No,1
AS,arsenic,Yes,No,1
SULFUR,sulfur,Yes,No,1
SULPHUR,sulfur,Yes,No,1
S,sulfur,Yes,No,1
TRIGLYCERIDE,"2,3-diformyloxypropyl formate",Yes,No,1
POTASSIUM,potassium,Yes,No,1
MAGNESIUM POWDER,magnesium,Yes,No,1
PHOSPHORUS,phosphorus,Yes,No,1
BORON,boron,Yes,No,1
B,boron,Yes,No,1
SELENIUM,selenium,Yes,No,1
SE,selenium,Yes,No,1
PO,polonium,Yes,No,1
